,name,月齢,頭囲,sex
121,女子 (3 %ile),1.5,349.0,女子
122,女子 (3 %ile),2.5,365.0,女子
123,女子 (3 %ile),3.5,376.0,女子
124,女子 (3 %ile),4.5,385.0,女子
125,女子 (3 %ile),5.5,393.0,女子
126,女子 (3 %ile),6.5,400.0,女子
127,女子 (3 %ile),7.5,406.0,女子
128,女子 (3 %ile),8.5,412.0,女子
129,女子 (3 %ile),9.5,416.0,女子
130,女子 (3 %ile),10.5,419.0,女子
131,女子 (3 %ile),11.5,422.0,女子
132,女子 (3 %ile),15.0,430.0,女子
133,女子 (3 %ile),21.0,443.0,女子
134,女子 (3 %ile),27.0,452.0,女子
135,女子 (3 %ile),33.0,460.0,女子
136,女子 (10 %ile),0.0,317.0,女子
137,女子 (10 %ile),1.0,346.0,女子
138,女子 (10 %ile),1.5,357.0,女子
139,女子 (10 %ile),2.5,372.0,女子
140,女子 (10 %ile),3.5,384.0,女子
141,女子 (10 %ile),4.5,393.0,女子
142,女子 (10 %ile),5.5,401.0,女子
143,女子 (10 %ile),6.5,408.0,女子
144,女子 (10 %ile),7.5,415.0,女子
145,女子 (10 %ile),8.5,420.0,女子
146,女子 (10 %ile),9.5,424.0,女子
147,女子 (10 %ile),10.5,428.0,女子
148,女子 (10 %ile),11.5,431.0,女子
149,女子 (10 %ile),15.0,439.0,女子
150,女子 (10 %ile),21.0,452.0,女子
151,女子 (10 %ile),27.0,461.0,女子
152,女子 (10 %ile),33.0,469.0,女子
153,女子 (25 %ile),0.0,325.0,女子
154,女子 (25 %ile),1.0,353.0,女子
155,女子 (25 %ile),1.5,364.0,女子
156,女子 (25 %ile),2.5,380.0,女子
157,女子 (25 %ile),3.5,391.0,女子
158,女子 (25 %ile),4.5,401.0,女子
159,女子 (25 %ile),5.5,409.0,女子
160,女子 (25 %ile),6.5,416.0,女子
161,女子 (25 %ile),7.5,423.0,女子
162,女子 (25 %ile),8.5,428.0,女子
163,女子 (25 %ile),9.5,433.0,女子
164,女子 (25 %ile),10.5,436.0,女子
165,女子 (25 %ile),11.5,439.0,女子
166,女子 (25 %ile),15.0,448.0,女子
167,女子 (25 %ile),21.0,460.0,女子
168,女子 (25 %ile),27.0,470.0,女子
169,女子 (25 %ile),33.0,478.0,女子
170,女子 (50 %ile),0.0,333.0,女子
171,女子 (50 %ile),1.0,361.0,女子
172,女子 (50 %ile),1.5,372.0,女子
173,女子 (50 %ile),2.5,388.0,女子
174,女子 (50 %ile),3.5,400.0,女子
175,女子 (50 %ile),4.5,409.0,女子
176,女子 (50 %ile),5.5,417.0,女子
177,女子 (50 %ile),6.5,425.0,女子
178,女子 (50 %ile),7.5,432.0,女子
179,女子 (50 %ile),8.5,437.0,女子
180,女子 (50 %ile),9.5,442.0,女子
181,女子 (50 %ile),10.5,445.0,女子
182,女子 (50 %ile),11.5,448.0,女子
183,女子 (50 %ile),15.0,457.0,女子
184,女子 (50 %ile),21.0,469.0,女子
185,女子 (50 %ile),27.0,479.0,女子
186,女子 (50 %ile),33.0,487.0,女子
187,女子 (75 %ile),0.0,341.0,女子
188,女子 (75 %ile),1.0,369.0,女子
189,女子 (75 %ile),1.5,380.0,女子
190,女子 (75 %ile),2.5,396.0,女子
191,女子 (75 %ile),3.5,408.0,女子
192,女子 (75 %ile),4.5,417.0,女子
193,女子 (75 %ile),5.5,426.0,女子
194,女子 (75 %ile),6.5,434.0,女子
195,女子 (75 %ile),7.5,440.0,女子
196,女子 (75 %ile),8.5,446.0,女子
197,女子 (75 %ile),9.5,450.0,女子
198,女子 (75 %ile),10.5,454.0,女子
199,女子 (75 %ile),11.5,457.0,女子
200,女子 (75 %ile),15.0,465.0,女子
201,女子 (75 %ile),21.0,478.0,女子
202,女子 (75 %ile),27.0,488.0,女子
203,女子 (75 %ile),33.0,496.0,女子
204,女子 (90 %ile),0.0,348.0,女子
205,女子 (90 %ile),1.0,375.0,女子
206,女子 (90 %ile),1.5,387.0,女子
207,女子 (90 %ile),2.5,403.0,女子
208,女子 (90 %ile),3.5,415.0,女子
209,女子 (90 %ile),4.5,424.0,女子
210,女子 (90 %ile),5.5,433.0,女子
211,女子 (90 %ile),6.5,441.0,女子
212,女子 (90 %ile),7.5,448.0,女子
213,女子 (90 %ile),8.5,453.0,女子
214,女子 (90 %ile),9.5,458.0,女子
215,女子 (90 %ile),10.5,462.0,女子
216,女子 (90 %ile),11.5,465.0,女子
217,女子 (90 %ile),15.0,473.0,女子
218,女子 (90 %ile),21.0,486.0,女子
219,女子 (90 %ile),27.0,496.0,女子
220,女子 (90 %ile),33.0,504.0,女子
221,女子 (97 %ile),0.0,355.0,女子
222,女子 (97 %ile),1.0,382.0,女子
223,女子 (97 %ile),1.5,393.0,女子
224,女子 (97 %ile),2.5,410.0,女子
225,女子 (97 %ile),3.5,422.0,女子
226,女子 (97 %ile),4.5,431.0,女子
227,女子 (97 %ile),5.5,440.0,女子
228,女子 (97 %ile),6.5,448.0,女子
229,女子 (97 %ile),7.5,455.0,女子
230,女子 (97 %ile),8.5,461.0,女子
231,女子 (97 %ile),9.5,465.0,女子
232,女子 (97 %ile),10.5,469.0,女子
233,女子 (97 %ile),11.5,472.0,女子
234,女子 (97 %ile),15.0,481.0,女子
235,女子 (97 %ile),21.0,494.0,女子
236,女子 (97 %ile),27.0,504.0,女子
237,女子 (97 %ile),33.0,512.0,女子
